name,num,star,sug1,sug2,sug3
海神诺富特大酒店.海神宫中餐厅,3549418,四星商户,黑椒牛扒,玉簪虾仁,点心
孔乙己酒家(文庙店),500332,准五星商户,太雕鸡,茴香豆,梅干菜烧肉
东宫小院,131737639,该商户暂无星级,杨梅鲜虾球,竹网葱烤鲳鱼,桂花米酒
转角·上海老弄堂(淮海路店),19804519,准五星商户,八宝辣酱小年糕,我家红烧肉,红桂花酒酿圆子
新上海(日月光中心广场店),27421074,准五星商户,新上海红烧肉,白斩鸡,响油鳝糊
HOME'S私房菜,504464,准五星商户,特色红烧肉,特色本帮熏鱼,特色糯米红枣
南麓·浙里(外滩店),6874180,五星商户,金牌扣肉,虾爆鳝,腐皮黄鱼卷
新荣记(南京西路店),21035069,五星商户,黑松露鹅肝包,龙虾汤泡饭,黄金脆带鱼
光明邨大酒家(淮海中路总店),501002,准五星商户,鲜肉月饼,鸡汁小馄饨,特色酱鸭
荟宴融品(思南公馆店),1827012128,四星商户,酱烧鸽蛋佐江南红烧肉,江南创意口味鸡,荟宴海青虾
洞天食府,5591028,准五星商户,酱爆螺丝,清蒸白水鱼,蚌肉豆腐
乐忻皇朝(上海中心大厦店),77457970,准五星商户,特色皇朝小笼包（八色）,红油抄手,招牌原味小笼包
翠亭酒家,500940,准五星商户,竹网鲈鱼,腐乳汁草虾,鱼面筋
琵琶蛮·铜雀春深(虹桥天地店),97339174,准五星商户,九制话梅酱鸭,鸡丝凉面,奶酪枇杷酥
饭香上海菜(日月光中心广场店),123607425,准五星商户,饭香招牌片皮鸭,本帮糖醋排骨,本帮响油鳝丝
人和馆(肇嘉浜路店),17182037,五星商户,金牌红烧肉,本帮熏鱼,老上海酱爆猪肝
三玛璐酒楼,502910,准五星商户,铁板鲈鱼,上海小排,芥末虾仁
鹿园 MOOSE(长宁店),5995973,准五星商户,老北京烤鸭,公主的素蟹粉,文火焖小牛肉
外滩1288花园丽舍餐厅,14734803,五星商户,上海熏鱼,油爆河虾,黄油焗龙虾
沪里湘❤海鲜砂锅粥(徐家汇店),114899571,五星商户,招牌牛蛙,石锅香芋,一品汽锅鱼
瑞福园(茂名南路店),501411,准五星商户,大黄鱼棒打小馄饨,油爆虾,田螺塞肉
点水楼(北外滩店),114789315,准五星商户,椒盐猪蹄,南乳排骨,韩式泡菜豆腐锅
和平饭店龙凤厅,500245,五星商户,片皮鸭,水晶河虾仁,本帮鳝丝
江南里(环球港店),68948071,准五星商户,宋嫂鱼羹,江南花开,卤鸡爪
食庐(浦东嘉里城店),69521429,准五星商户,三文鱼牛油果龙虾塔,扬州狮子头,橙香火焰鸭
RIVIERA  松鹤楼(外滩店),4039048,准五星商户,松鼠桂鱼,茶艺河虾仁,响油鳝丝
新白鹿餐厅(第一百货店),8009245,准五星商户,蛋黄鸡翅,糖醋排骨,话梅花生
客缘·初見(龙盛店),130836652,准五星商户,八珍烤鸭,腌笃鲜小馄饨,黄山臭鳜鱼
客觀民间菜(秀沿路店),92974819,准五星商户,葱香荔浦芋头,八珍烤鸭,梅菜饼
70后·绍东家(大宁国际店),129738048,准五星商户,绍氏酥鱼,花雕竹林鸡,江南米糕
