name,num,star,sug1,sug2,sug3,tuangou
浅草六丁目(静安本店),92652327,准五星商户,牛肉寿喜锅,牛舌薄烧,鸡蛋鳗鱼卷,
东京和食 Sun with AQUA,1965565,五星商户,刺身,东京小便当,鳗鱼饭,
HUNT'S ·夯食(世茂广场店),112130668,准五星商户,低温牛肉,蟹肉温泉蛋色拉,酥皮蟹宝,
鸟军日式烧烤深夜食堂,92849282,五星商户,烤牛舌,烤鸡皮,鸡胗,
峯烧鸟しんやしょくどう(夏都小镇店),101973719,五星商户,烤大肠,烤五花肉,烤黄油土豆,
酒吞(虹井路一馆),2244616,五星商户,鲜活牡丹虾,海胆,生鱼片定食,
万岛日本料理铁板烧(静安店),6061638,五星商户,牡丹虾,生海胆,三文鱼刺身,
鮨 松野 SUSHI MATSUNO,98406073,五星商户,和牛海胆卷,奈良渍鹅肝,熟成金枪鱼大脂,
酒吞(虹井路二馆),5514678,五星商户,鲜活牡丹虾,海胆,三文鱼肚,
牛小新烧肉屋(淮海中路店),69648904,五星商户,厚切牛舌,牛五花,芝士焗地瓜,
大馥 · 炭火烧肉屋(淮海路店),92455203,五星商户,盐葱牛舌,厚切牛小排,牛五花,
老乾杯(外滩本店),23735418,五星商户,本日限定澳洲和牛五种组合,鸡肉釜饭,豪华澳洲和牛&海胆手卷寿司,
鮨匠割烹料理(物华路店),92426910,五星商户,活松叶蟹,刺身拼盘,厚切牛舌,
大馥·烧肉丼饭(美罗城店),101961292,准五星商户,幸福满满牛丼烧,大馥歌剧院,大馥牛排丼,
天手古舞居酒屋(思南路店),2224660,五星商户,澳洲酱烤厚切上牛舌,菠菜色拉,牛肠火锅,
鰻重(愚园路店),58965149,五星商户,鳗鱼饭,鳗重,可尔必思,
超级丼(嘉亭荟店),113896866,五星商户,超级牛肉丼,超级蟹子火山沙拉,超级丼鳗,
西郊壹号 南苑铁板烧·日料,19643664,五星商户,龙虾芝士,a5和牛,松露奶油蘑菇汤,
海狸家まぐろ日本料理(五角场店),126832483,五星商户,蓝鳍金枪鱼刺身,相扑锅,温泉蛋菠菜沙拉,
酱子(南丰城店),97519951,准五星商户,烤牛舌,炸雞塊,芥末章鱼,
万岛日本料理铁板烧(吴中店),22912244,五星商户,小青龙,鳌虾,生海胆,
Ramen满吉,131783113,准五星商户,秘制炸鸡块,浓汤拉面,满吉溏心蛋,
松料理,98938783,五星商户,三文鱼刺身,M9澳洲和牛上脑牛排,鹅肝寿司,
九井正本料理(锦绣路店),13881219,五星商户,刺身拼盘,海胆,牡丹虾,
亚洲烧肉公司,68066252,五星商户,极上每样尝尝拼盘,台湾墨鱼肠,极上牛舌,
平成屋(正大广场店),100452392,准五星商户,烤牛舌,虾仁蛋包饭,炸鸡块,
荣新馆(兴义路2号店),21649203,准五星商户,兰维乐新西兰鳌虾,海胆,小青龙,
竹若金枪鱼(静安寺店),1050532160,准四星商户,元贝玉子烧,芝士焗蟹宝,三文鱼,
找到牛日式放题火锅,124752339,准五星商户,寿喜锅,和牛M5,安格斯谷饲后胸,
哥哥の深夜食堂(外滩店),127944263,五星商户,鹅肝寿司,烤牛舌,名古屋鸡翅,
桐花和食(虹桥中山店),5148607,五星商户,牡丹虾,海胆,龙虾,
迪立希寿喜锅,129628027,准五星商户,寿喜锅,M5 和牛牛肩肉,m5和牛牛脊肉,
竹若荣越(人民广场店),98622260,准五星商户,蟹宝,刺身七种拼盘,牡丹虾,
酒侍串说YaKINGtori,92371539,五星商户,鸭肝牛小排,厚切牛舌,鲑鱼亲子串,
平成屋(漕宝路店),103666998,五星商户,牛舌,炸鸡块,芥末章鱼,
most居酒屋izakaya,98787171,准五星商户,芝士豆腐,牛油果色拉,牛肉鹅肝卷,
东京屋(武定路店),6008006,准五星商户,鹅肝寿司,三文鱼刺身,炙烤寿司,
酒箸日本料理(假日酒店),132157916,准四星商户,鲷鱼浓汤石锅泡饭,手工芝麻豆腐,香煎牛舌,
